Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,356,India,5312,Area harvested,1371,"Almonds, in shell",2019,2019,ha,10432,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1371,"Almonds, in shell",2019,2019,kg/ha,1051.3,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1371,"Almonds, in shell",2019,2019,t,10967,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1371,"Almonds, in shell",2020,2020,ha,8954,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1371,"Almonds, in shell",2020,2020,kg/ha,1214.4,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1371,"Almonds, in shell",2020,2020,t,10874,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1371,"Almonds, in shell",2021,2021,ha,10156,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1371,"Almonds, in shell",2021,2021,kg/ha,1110.9,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1371,"Almonds, in shell",2021,2021,t,11282,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1371,"Almonds, in shell",2022,2022,ha,10282,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1371,"Almonds, in shell",2022,2022,kg/ha,1171.6,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1371,"Almonds, in shell",2022,2022,t,12046,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1371,"Almonds, in shell",2023,2023,ha,9944,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1371,"Almonds, in shell",2023,2023,kg/ha,1252.5,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1371,"Almonds, in shell",2023,2023,t,12455,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1371,"Almonds, in shell",2024,2024,ha,9680,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1371,"Almonds, in shell",2024,2024,kg/ha,1275.3,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1371,"Almonds, in shell",2024,2024,t,12345.47,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,2019,ha,1587000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,2019,kg/ha,912.4,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2019,2019,t,1448000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,2020,ha,1888000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,2020,kg/ha,928.5,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,2020,t,1753000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,2021,ha,1826000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,2021,kg/ha,998.4,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,2021,t,1823000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,2022,ha,1487207,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,2022,kg/ha,945.4,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2022,2022,t,1406040,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,2023,ha,1736508,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,2023,kg/ha,980.8,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2023,2023,t,1703183,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2024,2024,ha,2122427,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2024,2024,kg/ha,992.8,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2024,2024,t,2107138,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1341,Apples,2019,2019,ha,308000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1341,Apples,2019,2019,kg/ha,7519.5,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1341,Apples,2019,2019,t,2316000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1341,Apples,2020,2020,ha,310000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1341,Apples,2020,2020,kg/ha,9077.4,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1341,Apples,2020,2020,t,2814000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1341,Apples,2021,2021,ha,313000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1341,Apples,2021,2021,kg/ha,7271.6,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1341,Apples,2021,2021,t,2276000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1341,Apples,2022,2022,ha,315000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1341,Apples,2022,2022,kg/ha,8219,A,Official figure,
QCL,Crops and livestock products,356,India,5510,Production,1341,Apples,2022,2022,t,2589000,A,Official figure,
QCL,Crops and livestock products,356,India,5312,Area harvested,1341,Apples,2023,2023,ha,304000,A,Official figure,
QCL,Crops and livestock products,356,India,5412,Yield,1341,Apples,2023,2023,kg/ha,9460.5,A,Official figure,
